,username,tweet,date
112,viNa_Widjaja,Anak siapa ini main banjir 󾌪,2016-09-20T05:52:02.000Z
113,awalyp,Banjir belah  selatan utara mcm mne? Info2..,2016-09-20T05:50:41.000Z
114,TataAirJakarta,Pek peningkatan sal UDITCH jln Bank 5 menuju pompa canadiyanti respon banjir jl bank 1 sekitarnya... https://t.co/igo7iDk1JZ,2016-09-20T05:49:12.000Z
115,iSerly19,"@ganjarpranowo sekarang kami harus berjuang lawan banjir, tergenang terus tiap hari pak. Bahkan ke kampus pun kami harus copot kos kaki.. :(",2016-09-20T05:48:44.000Z
116,TataAirJakarta,Giat satgas ta kec. Mp SDTAJS kuras sal PHB Kemang Jaya respon banjir kompl 79 jln kemang sel 4... https://t.co/wr7e3SWZc6,2016-09-20T05:48:22.000Z
117,YernLee,"Gw pas kemaren ngerjain orang bilang, ""mbak banjir mbak"" dia reflek bersihin mulut wakakakak https://t.co/aXG8j3pK8u",2016-09-20T05:47:37.000Z
118,ShazmeeraJazz,Lepas ni banjir lah bilik asyik nangis je,2016-09-20T05:46:25.000Z
119,iSerly19,"Pak @ganjarpranowo tolng dong banjir di genuk lebih diberi perhatian, banjirnya disedot atau minimal buatkan jembatan penyeberangan utk kami",2016-09-20T05:46:20.000Z
120,kepedihan_aing,@fahry87822594 banjir,2016-09-20T05:46:00.000Z
121,VeritasArdentur,"Zeus belum ridho kayaknya. Sejak bareng setnov, banjir bbrpkali sampai kantornya ahok kena. https://t.co/jaySq2ww3n",2016-09-20T05:45:11.000Z
122,rifatrasjim,"MAKANYA JANGAN SESUMBAR GAMPANG URUS BANJIR ""Balaikota Kebanjiran, Ahok Kemana?"" https://t.co/OlTEJ760hW via @Lingkaran News",2016-09-20T05:43:44.000Z
123,qentooz,@Cobeh64 saya tadinya mau daftar sayangnya data hasil ngumpulin sejuta KTP hanyut diterjang banjir..,2016-09-20T05:43:43.000Z
124,aadelina_s,"Negeri lain banjir, bintulu kemarau 😰",2016-09-20T05:42:35.000Z
125,kayown93,Lah SP kena ayaq pasang. Ingatkan banjir.,2016-09-20T05:41:56.000Z
126,SultanHendrik,"Hujan, Puluhan Rumah Terendam Banjir di Marelan - Tribun Medan https://t.co/h3PKAHHjq6",2016-09-20T05:40:36.000Z
127,Aurelioliolio,"Daratan Pantai di Tegal Hilang 50 Meter: 
          Banjir rob jadi tamu rutin bagi warga Tegal. https://t.co/smsU8QVqpP",2016-09-20T05:39:38.000Z
128,luffy_mar7,Mersing panas oi. Lama tak hujan. Air pon kena catu. Macam mana tempat lain siap banjir. (╮°-°)╮┳━┳ (╯°□°)╯ ┻━┻,2016-09-20T05:39:25.000Z
129,haiqal_haziq,Ok all business got to stop sebab store banjir ayaq bocor GGWP hhahaha,2016-09-20T05:37:38.000Z
130,ayactkuzs,Eh simama jgn lupa kewujudan kami kat rumah banjir tercinta ni 👊👊👊 https://t.co/8NRdvhG8lM,2016-09-20T05:34:21.000Z
131,bb3fd1c1eb834ed,"Banjir beberapa tahun ngak banjir e,,,ini banjir lg https://t.co/uEm2CW5kDB",2016-09-20T05:33:15.000Z
132,Anyssx_,@Daniel_Farsfa semalam banjir tak😂😂😂,2016-09-20T05:32:37.000Z
133,tulus_hatinya,Pagi - siang panas. Sore - malam ujan. BanjIr.,2016-09-20T05:31:57.000Z
134,IndahEmely,@Qamarul_Hafeez ni semua tempat nak banjir ni qama Hati hati lah,2016-09-20T05:31:04.000Z
135,AstroRadioNews,"Fenomena air pasang besar di Selangor menyebabkan 224 penduduk berlindung di pusat pemindahan banjir.

Daerah... https://t.co/dw3BXkncwL",2016-09-20T05:30:27.000Z
136,ucu_pikachu,Klang dilanda musim banjir 😢,2016-09-20T05:30:11.000Z
137,1015DAHLIAFM,"WOUW ... BANJIR HADIAH LAGI !!

Perbanyak point Wargi, lewat Tabungan BTN e'Batara Pos @BankBTNcoid  Info : 1500286 https://t.co/IEPe1z14AX",2016-09-20T05:30:06.000Z
138,DepokOne,"Pemkot Depok Gelontorkan Dana 19 M Guna Cegah Banjir: DEPOK (Depokone) – Guna cegah banjir, Pemerintah Kota (... https://t.co/OAmM7Vr4Ky",2016-09-20T05:29:09.000Z
139,junchristan,"Ngga heran sih kalo gubernurnya dari partai yg itu. Pelan tp pasti daerahnya bakal balik lagi ke era middle age.

Banjir diatasi dgn doa 😩",2016-09-20T05:28:26.000Z
140,ochak147,"Diluar? Senyum
didalem? Udh banjir -_-",2016-09-20T05:26:38.000Z
141,rama_jealfian,Video lucu salah jalan saat banjir masuk got: https://t.co/NGWNnl1887 melalui @YouTube,2016-09-20T05:26:32.000Z
142,jeremey_wong,"@nongandah @ahok_btp tempat tingal, upah minimum, ekonomi, banjir, inflasi sudah di tangani ahok & mayoritas rakyat sy rasa puas dgn ahok",2016-09-20T05:25:40.000Z
143,ShazrylAmin,selangor banjir 😰,2016-09-20T05:25:33.000Z
144,Aamqudsy,Mudah2an banjir e wes surut amiin 😁,2016-09-20T05:25:31.000Z
145,CACAbonbonss,Jangan pula sampai banjir 1b nanti 😅,2016-09-20T05:22:10.000Z
146,theoherutomo,@pemkotbekasi kapan Kincan kalimalang bebas banjir setelah hujan deras ? Tks,2016-09-20T05:20:11.000Z
147,sarahpuspita,"Tiap ke klien yang di Pejaten, doanya cuma satu. Plis jangan ujan deres. Kalo Kemang banjir, gue ndak pulang 😭😭😭",2016-09-20T05:19:25.000Z
