source,target
windoe_poetra,jonru
pertiwi_natalia,jokowi
pertiwi_natalia,jokowi
gomezgurls,awkaileest
pertiwi_natalia,jokowi
SchaHyra_,noorfaizzan_
pertiwi_natalia,jokowi
rafsankemal1,kompasiana
endlessrove,RadioElshinta
endlessrove,KPK_RI
vap2or,blancjsy
dimas_wid,aditnamasaya
CaesarAhmad17,achanJKT48
mathsoul1,SurYosodipuro
windoe_poetra,jonru
bdrlhsymfz,Kucing_montok
soonkyut,nctese
mumtazah27,nrsykn_
aiminazri21,SyafiqahKmrudin
nadatulmujarob,syaurahridzwan
petajkt,rafsankemal1
petajkt,petajkt
allydazlkfle,azreenjohare21
tra_anyunt,basuki_btp
asyranirodzi,sofeanerrisya_
asyranirodzi,Nrthrsyfqh_
VioArs,tikalyca
JECNSCMl,DongjunKim_
awkaileest,gomezgurls
Imnayeonic,nctaye
bjackcroots,renatabellenia
bjackcroots,laki2mu_selalu
policyhyuna,WLK_KNJ95
policyhyuna,WLK_Baesuzy
NatashaAmera,farid_rusydi97
didimening,Syambari
didimening,NgetopBanget
didimening,basuki_btp
MUHTARALI6,Andi_ZaKi
MUHTARALI6,Bg_MarOne
MUHTARALI6,TPK_RI
Kamil_Mahadzir,yusrhmalik
yoko_the83,smoothy_curly
yoko_the83,urbancikarang
yoko_the83,NenengHYasin
AiniHairani,acapanbro
Bennys_Chaniago,TPK_RI
KShafiek,_manja93
Laudy_syarief,mata_indigo
Laudy_syarief,SiBonekaKayu
Laudy_syarief,benz_moreira
Laudy_syarief,wartakotalive
AiniHairani,acapanbro
Qhawarizmie,adilahidayah
jaewonazi,chaeyazi
WLK_KNJ95,policyhyuna
WLK_KNJ95,WLK_Baesuzy
indan_kurnia,TribunStyle
policyhyuna,WLK_KNJ95
policyhyuna,WLK_Baesuzy
GarisMesra_33,BJRpatroman
achmad_imansyah,pln_123
achmad_imansyah,basuki_btp
achmad_imansyah,AHMADDHANIPRAST
Qhawarizmie,adilahidayah
antikonsultanpr,TsamaraDKI
agusdwiwahyud1,kompascom
agusdwiwahyud1,kaskus
agusdwiwahyud1,detikcom
agusdwiwahyud1,Metro_TV
husnazahri_,EzzatEmirMJ
BXHSSAMDI,BXHHNEUL
shiqienmozahr,RossShafiqah
fachriceg,PRFMnews
okaardl,NrsRizki
NgetopBanget,basuki_btp
MpesAbinyaHanif,benz_moreira
UR95Taeyongg,nancymekdi
UR95Taeyongg,Ieeduda
sissysweety,TofaLemon
OdyiusJacare,SiBonekaKayu
lvlyzmiijoo,nnhcyts
